chart_name,description,category,tags,popularity,version,verified_publisher,developer,repository_url,license_type,rating_count,popularity_scaled,rating_count_scaled,popularity_category,text_combined,topic_1,topic_2,topic_3,topic_4,topic_5
metrics-server,"Metrics Server is a scalable, efficient source of container resource metrics for Kubernetes built-in autoscaling pipelines.",Visualization,"metrics_server, server, metrics, visualization, metrics-server",234,3.12.2,TRUE,metrics-server,https://kubernetes-sigs.github.io/metrics-server/,Unknown,0,0.249733191,0,0,"Metrics Server is a scalable, efficient source of container resource metrics for Kubernetes built-in autoscaling pipelines. metrics_server, server, metrics, visualization, metrics-server",0.05757369582,0.05851118648,0.4002021812,0.334419321,0.1492936155
gitlab,GitLab is the most comprehensive AI-powered DevSecOps Platform.,Secrets Management,"secrets management, gitlab, charts.gitlab.io, the",230,8.8.0,TRUE,gitlab,http://charts.gitlab.io/,Unknown,0,0.2454642476,0,0,"GitLab is the most comprehensive AI-powered DevSecOps Platform. secrets management, gitlab, charts.gitlab.io, the",0.06325886558,0.06262704207,0.0628163409,0.7484130368,0.06288471464
loki,"Helm chart for Grafana Loki and Grafana Enterprise Logs supporting both simple, scalable and distributed modes.","Topic 2: Ingress, Controller, GitHub","grafana, grafana.github.io, helm_charts, uncategorized, for",230,6.24.0,FALSE,grafana,https://grafana.github.io/helm-charts,Unknown,0,0.2454642476,0,0,"Helm chart for Grafana Loki and Grafana Enterprise Logs supporting both simple, scalable and distributed modes. grafana, grafana.github.io, helm_charts, uncategorized, for",0.05731066033,0.7681833829,0.05714654079,0.06113614186,0.05622327412
vault,Official HashiCorp Vault Chart,Certificate Management,"helm.releases.hashicorp.com, hashicorp, official, vault, certificate management",228,0.29.1,TRUE,hashicorp,https://helm.releases.hashicorp.com,MPL-2.0,0,0.2433297759,0,0,"Official HashiCorp Vault Chart helm.releases.hashicorp.com, hashicorp, official, vault, certificate management",0.06375698361,0.06084244703,0.752500423,0.06198500552,0.06091514082
jenkins,"Jenkins - Build great things at any scale! As the leading open source automation server, Jenkins provides over 1800 plugins to support building, deploying and automating any project. ",Secrets Management,"jenkins, charts.jenkins.io, -, jenkinsci, secrets management, build",213,5.8.3,TRUE,jenkinsci,https://charts.jenkins.io/,Apache-2.0,0,0.227321238,0,0,"Jenkins - Build great things at any scale! As the leading open source automation server, Jenkins provides over 1800 plugins to support building, deploying and automating any project.  jenkins, charts.jenkins.io, -, jenkinsci, secrets management, build",0.1080047164,0.0478051202,0.04728899725,0.7493340779,0.04756708823
keycloak,Keycloak is a high performance Java-based identity and access management solution. It lets developers add an authentication layer to their applications with minimum effort.,Certificate Management,"bitnami, charts.bitnami.com, certificate management, keycloak",210,24.4.4,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.2241195304,0,0,"Keycloak is a high performance Java-based identity and access management solution. It lets developers add an authentication layer to their applications with minimum effort. bitnami, charts.bitnami.com, certificate management, keycloak",0.03918540044,0.3098985673,0.571813163,0.03945033405,0.03965253516
harbor,"An open source trusted cloud native registry that stores, signs, and scans content",Certificate Management,"an, harbor, source, certificate management, open, helm.goharbor.io",191,1.16.1,TRUE,harbor,https://helm.goharbor.io,Apache-2.0,0,0.2038420491,0,0,"An open source trusted cloud native registry that stores, signs, and scans content an, harbor, source, certificate management, open, helm.goharbor.io",0.05022773436,0.05058047732,0.05001284932,0.4711521342,0.3780268048
mysql,"MySQL is a fast, reliable, scalable, and easy to use open source relational database system. Designed to handle mission-critical, heavy-load production applications.",Database,"bitnami, database, mysql, charts.bitnami.com",187,12.2.1,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1995731057,0,0,"MySQL is a fast, reliable, scalable, and easy to use open source relational database system. Designed to handle mission-critical, heavy-load production applications. bitnami, database, mysql, charts.bitnami.com",0.3026677026,0.04276709571,0.04053560456,0.573564085,0.04046551216
rabbitmq,"RabbitMQ is an open source general-purpose message broker that is designed for consistent, highly-available messaging scenarios (both synchronous and asynchronous).","Topic 1: Operator, Cluster, Management","bitnami, an, charts.bitnami.com, rabbitmq, uncategorized",185,15.2.3,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1974386339,0,0,"RabbitMQ is an open source general-purpose message broker that is designed for consistent, highly-available messaging scenarios (both synchronous and asynchronous). bitnami, an, charts.bitnami.com, rabbitmq, uncategorized",0.455854942,0.04740767832,0.04565480641,0.4060325847,0.04504998847
external-dns,ExternalDNS is a Kubernetes addon that configures public DNS servers with information about exposed Kubernetes services to make them discoverable.,Ingress Controller,"bitnami, charts.bitnami.com, externaldns, ingress controller",182,8.7.1,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1942369264,0,0,"ExternalDNS is a Kubernetes addon that configures public DNS servers with information about exposed Kubernetes services to make them discoverable. bitnami, charts.bitnami.com, externaldns, ingress controller",0.8195617009,0.04545128969,0.04448754127,0.04503307495,0.04546639321
elasticsearch,Official Elastic helm chart for Elasticsearch,"Topic 4: Helm, Chart, Kubernetes","official, elastic, helm.elastic.co, uncategorized",175,8.5.1,TRUE,elastic,https://helm.elastic.co,Unknown,0,0.1867662753,0,0,"Official Elastic helm chart for Elasticsearch official, elastic, helm.elastic.co, uncategorized",0.06963320264,0.0696625044,0.07023082071,0.72093846,0.0695350122
gitlab-runner,GitLab Runner,Secrets Management,"secrets management, gitlab, charts.gitlab.io, runner",171,0.72.0,TRUE,gitlab,http://charts.gitlab.io/,MIT,0,0.1824973319,0,0,"GitLab Runner secrets management, gitlab, charts.gitlab.io, runner",0.07113177024,0.07039271026,0.07067463571,0.7172526175,0.07054826625
kafka,Apache Kafka is a distributed streaming platform designed to build real-time pipelines and can be used as a message broker or as a replacement for a log aggregation solution for big data applications.,"Topic 4: Helm, Chart, Kubernetes","bitnami, charts.bitnami.com, kafka, uncategorized, apache",171,31.2.0,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1824973319,0,0,"Apache Kafka is a distributed streaming platform designed to build real-time pipelines and can be used as a message broker or as a replacement for a log aggregation solution for big data applications. bitnami, charts.bitnami.com, kafka, uncategorized, apache",0.03702813209,0.03632749767,0.03665311047,0.7968555806,0.09313567915
mongodb,"MongoDB(R) is a relational open source NoSQL database. Easy to use, it stores data in JSON-like documents. Automated scalability and high-performance. Ideal for developing cloud native applications.",Database,"bitnami, database, charts.bitnami.com, mongodb(r)",169,16.4.1,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1803628602,0,0,"MongoDB(R) is a relational open source NoSQL database. Easy to use, it stores data in JSON-like documents. Automated scalability and high-performance. Ideal for developing cloud native applications. bitnami, database, charts.bitnami.com, mongodb(r)",0.2880234942,0.591878404,0.03949884126,0.04114020309,0.0394590575
aws-load-balancer-controller,AWS Load Balancer Controller Helm chart for Kubernetes,Ingress Controller,"aws, ingress controller, eks_charts, load, balancer, aws.github.io",168,1.11.0,FALSE,aws,https://aws.github.io/eks-charts,Unknown,0,0.1792956243,0,0,"AWS Load Balancer Controller Helm chart for Kubernetes aws, ingress controller, eks_charts, load, balancer, aws.github.io",0.05862976644,0.5832335597,0.2411089856,0.05892813807,0.05809955017
nextcloud,A file sharing server that puts the control and security of your own data back into your hands.,"Topic 4: Helm, Chart, Kubernetes","file, nextcloud, sharing, uncategorized",156,6.6.2,FALSE,nextcloud,https://nextcloud.github.io/helm/,Unknown,0,0.166488794,0,0,"A file sharing server that puts the control and security of your own data back into your hands. file, nextcloud, sharing, uncategorized",0.06241436036,0.06588643115,0.06319372852,0.6603542241,0.1481512559
velero,A Helm chart for velero,"Topic 2: Ingress, Controller, GitHub","vmware-tanzu, helm_charts, uncategorized",150,8.3.0,FALSE,vmware-tanzu,https://vmware-tanzu.github.io/helm-charts/,Unknown,0,0.1600853789,0,0,"A Helm chart for velero vmware-tanzu, helm_charts, uncategorized",0.07187484773,0.7095504382,0.07256602244,0.07501035418,0.07099833743
airflow,"The official Helm chart to deploy Apache Airflow, a platform to programmatically author, schedule, and monitor workflows",Secrets Management,"the, airflow.apache.org, apache-airflow, official, secrets management",149,1.15.0,TRUE,apache-airflow,https://airflow.apache.org/,Apache-2.0,0,0.159018143,0,0,"The official Helm chart to deploy Apache Airflow, a platform to programmatically author, schedule, and monitor workflows the, airflow.apache.org, apache-airflow, official, secrets management",0.05554829566,0.05481325396,0.5099498248,0.3250952343,0.05459339134
minio,"MinIO(R) is an object storage server, compatible with Amazon S3 cloud storage service, mainly used for storing unstructured data (such as photos, videos, log files, etc.).","Topic 2: Ingress, Controller, GitHub","bitnami, an, minio(r), charts.bitnami.com, uncategorized",145,14.10.3,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1547491996,0,0,"MinIO(R) is an object storage server, compatible with Amazon S3 cloud storage service, mainly used for storing unstructured data (such as photos, videos, log files, etc.). bitnami, an, minio(r), charts.bitnami.com, uncategorized",0.04335978403,0.8284740598,0.04244893795,0.04308703904,0.04263017919
external-dns,ExternalDNS synchronizes exposed Kubernetes Services and Ingresses with DNS providers.,Ingress Controller,"synchronizes, external_dns, ingress controller, exposed, externaldns, external-dns",144,1.15.0,TRUE,external-dns,https://kubernetes-sigs.github.io/external-dns/,Unknown,0,0.1536819637,0,0,"ExternalDNS synchronizes exposed Kubernetes Services and Ingresses with DNS providers. synchronizes, external_dns, ingress controller, exposed, externaldns, external-dns",0.75582962,0.0622985613,0.0610920454,0.06046460222,0.0603151711
cluster-autoscaler,Scales Kubernetes worker nodes within autoscaling groups.,"Topic 3: Prometheus, Exporter, Visualization","autoscaler, scales, uncategorized, cluster-autoscaler, kubernetes.github.io, worker",142,9.45.0,FALSE,cluster-autoscaler,https://kubernetes.github.io/autoscaler,Unknown,0,0.151547492,0,0,"Scales Kubernetes worker nodes within autoscaling groups. autoscaler, scales, uncategorized, cluster-autoscaler, kubernetes.github.io, worker",0.06407318125,0.06246208449,0.7456387583,0.06242996155,0.06539601442
longhorn,Longhorn is a distributed block storage system for Kubernetes.,"Topic 4: Helm, Chart, Kubernetes","charts.longhorn.io, longhorn, uncategorized",139,1.7.2,FALSE,longhorn,https://charts.longhorn.io,Unknown,0,0.1483457844,0,0,"Longhorn is a distributed block storage system for Kubernetes. charts.longhorn.io, longhorn, uncategorized",0.06022401966,0.06252942625,0.06016615416,0.7570461474,0.06003425255
external-secrets,External secret management for Kubernetes,Certificate Management,"management, external-secrets-operator, charts.external_secrets.io, secret, external, certificate management",138,0.12.1,TRUE,external-secrets-operator,https://charts.external-secrets.io/,Unknown,0,0.1472785486,0,0,"External secret management for Kubernetes management, external-secrets-operator, charts.external_secrets.io, secret, external, certificate management",0.06196013286,0.06056315461,0.754673467,0.06111807354,0.06168517203
cilium,"eBPF-based Networking, Security, and Observability",Certificate Management,"security, cilium, helm.cilium.io, ebpf-based, networking, certificate management",124,1.17.0-rc.1,TRUE,cilium,https://helm.cilium.io/,Apache-2.0,0,0.1323372465,0,0,"eBPF-based Networking, Security, and Observability security, cilium, helm.cilium.io, ebpf-based, networking, certificate management",0.05770557389,0.3935009122,0.4321162717,0.05802538064,0.05865186163
loki-stack,"Loki: like Prometheus, but for logs.","Topic 2: Ingress, Controller, GitHub","loki:, grafana, grafana.github.io, prometheus, helm_charts, uncategorized, like",122,2.10.2,FALSE,grafana,https://grafana.github.io/helm-charts,Unknown,0,0.1302027748,0,0,"Loki: like Prometheus, but for logs. loki:, grafana, grafana.github.io, prometheus, helm_charts, uncategorized, like",0.05748272128,0.6250474481,0.2024513771,0.05766472554,0.05735372801
argo-workflows,A Helm chart for Argo Workflows,"Topic 1: Operator, Cluster, Management","argo, argo_helm, argoproj.github.io, uncategorized",109,0.45.4,TRUE,argo,https://argoproj.github.io/argo-helm,Unknown,0,0.1163287086,0,0,"A Helm chart for Argo Workflows argo, argo_helm, argoproj.github.io, uncategorized",0.7260549975,0.06839873072,0.06879840862,0.06999000447,0.0667578587
rancher,Install Rancher Server to manage Kubernetes clusters across providers.,"Topic 1: Operator, Cluster, Management","install, server, server_charts, uncategorized, rancher-stable, stable, rancher",109,2.10.1,FALSE,rancher-stable,https://releases.rancher.com/server-charts/stable,Unknown,0,0.1163287086,0,0,"Install Rancher Server to manage Kubernetes clusters across providers. install, server, server_charts, uncategorized, rancher-stable, stable, rancher",0.7602611819,0.05989100485,0.059682292,0.06078107671,0.05938444458
fluent-bit,"Fast and lightweight log processor and forwarder or Linux, OSX and BSD family operating systems.",Visualization,"lightweight, fluent, fast, and, helm_charts, fluent.github.io, visualization",107,0.48.5,FALSE,fluent,https://fluent.github.io/helm-charts,Unknown,0,0.1141942369,0,0,"Fast and lightweight log processor and forwarder or Linux, OSX and BSD family operating systems. lightweight, fluent, fast, and, helm_charts, fluent.github.io, visualization",0.05442544095,0.05490914365,0.3115981329,0.5235373751,0.0555299074
promtail,Promtail is an agent which ships the contents of local logs to a Loki instance,"Topic 2: Ingress, Controller, GitHub","grafana, an, grafana.github.io, promtail, helm_charts, uncategorized",107,6.16.6,FALSE,grafana,https://grafana.github.io/helm-charts,Unknown,0,0.1141942369,0,0,"Promtail is an agent which ships the contents of local logs to a Loki instance grafana, an, grafana.github.io, promtail, helm_charts, uncategorized",0.05351087449,0.6024184116,0.2368463708,0.05380957094,0.05341477217
datadog,Datadog Agent,Visualization,"visualization, agent, helm.datadoghq.com, datadog",105,3.88.1,TRUE,datadog,https://helm.datadoghq.com,Unknown,0,0.1120597652,0,0,"Datadog Agent visualization, agent, helm.datadoghq.com, datadog",0.07151181412,0.07125860656,0.7138766372,0.07232551513,0.07102742696
metallb,A network load-balancer implementation for Kubernetes using standard routing protocols,"Topic 2: Ingress, Controller, GitHub","load-balancer, metallb, uncategorized, metallb.github.io, network",104,0.14.9,TRUE,metallb,https://metallb.github.io/metallb,Unknown,0,0.1109925293,0,0,"A network load-balancer implementation for Kubernetes using standard routing protocols load-balancer, metallb, uncategorized, metallb.github.io, network",0.05272602431,0.7887188037,0.052834112,0.05293888752,0.05278217247
sonarqube,"SonarQube is a self-managed, automatic code review tool that systematically helps you deliver clean code. As a core element of our Sonar solution, SonarQube integrates into your existing workflow and detects issues in your code to help you perform continuous code inspections of your projects. The tool analyses 30+ different programming languages and integrates into your CI pipeline and DevOps platform to ensure that your code meets high-quality standards.",Certificate Management,"helm_chart_sonarqube, sonarqube, certificate management, sonarsource.github.io",98,10.8.1,TRUE,sonarqube,https://SonarSource.github.io/helm-chart-sonarqube,Unknown,0,0.1045891142,0,0,"SonarQube is a self-managed, automatic code review tool that systematically helps you deliver clean code. As a core element of our Sonar solution, SonarQube integrates into your existing workflow and detects issues in your code to help you perform continuous code inspections of your projects. The tool analyses 30+ different programming languages and integrates into your CI pipeline and DevOps platform to ensure that your code meets high-quality standards. helm_chart_sonarqube, sonarqube, certificate management, sonarsource.github.io",0.073682403,0.03677780016,0.1183983091,0.5639129644,0.2072285234
istiod,Helm chart for istio control plane,Ingress Controller,"istio_release.storage.googleapis.com, for, istio-official, ingress controller",97,1.24.2,TRUE,istio-official,https://istio-release.storage.googleapis.com/charts,Unknown,0,0.1035218783,0,0,"Helm chart for istio control plane istio_release.storage.googleapis.com, for, istio-official, ingress controller",0.3554656732,0.05292576447,0.05098750799,0.4895283044,0.05109274989
thanos,"Thanos is a highly available metrics system that can be added on top of existing Prometheus deployments, providing a global query view across all Prometheus installations.",Visualization,"bitnami, charts.bitnami.com, thanos, visualization",95,15.10.0,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.1013874066,0,0,"Thanos is a highly available metrics system that can be added on top of existing Prometheus deployments, providing a global query view across all Prometheus installations. bitnami, charts.bitnami.com, thanos, visualization",0.04660909413,0.4035141764,0.4573240628,0.04651239307,0.04604027353
gitea,Gitea Helm chart for Kubernetes,Secrets Management,"secrets management, dl.gitea.io, gitea",91,10.6.0,FALSE,gitea,https://dl.gitea.io/charts,MIT,0,0.09711846318,0,0,"Gitea Helm chart for Kubernetes secrets management, dl.gitea.io, gitea",0.06073428498,0.05944087274,0.06019941607,0.759839997,0.05978542925
wordpress,"WordPress is the world's most popular blogging and content management platform. Powerful yet simple, everyone from students to global corporations use it to build beautiful, functional websites.","Topic 4: Helm, Chart, Kubernetes","bitnami, charts.bitnami.com, uncategorized, wordpress, the",89,24.1.6,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.09498399146,0,0,"WordPress is the world's most popular blogging and content management platform. Powerful yet simple, everyone from students to global corporations use it to build beautiful, functional websites. bitnami, charts.bitnami.com, uncategorized, wordpress, the",0.04949973515,0.04915653283,0.04909147636,0.8028177939,0.04943446177
nfs-subdir-external-provisioner,"nfs-subdir-external-provisioner is an automatic provisioner that used your *already configured* NFS server, automatically creating Persistent Volumes.","Topic 1: Operator, Cluster, Management","nfs_subdir_external_provisioner, an, nfs-subdir-external-provisioner, uncategorized, kubernetes_sigs.github.io",89,4.0.18,FALSE,nfs-subdir-external-provisioner,https://kubernetes-sigs.github.io/nfs-subdir-external-provisioner,Unknown,0,0.09498399146,0,0,"nfs-subdir-external-provisioner is an automatic provisioner that used your *already configured* NFS server, automatically creating Persistent Volumes. nfs_subdir_external_provisioner, an, nfs-subdir-external-provisioner, uncategorized, kubernetes_sigs.github.io",0.7569095687,0.09222909146,0.05088041744,0.04992532039,0.05005560201
kyverno,Kubernetes Native Policy Management,Certificate Management,"kyverno, certificate management, policy, native",87,3.3.4,TRUE,kyverno,https://kyverno.github.io/kyverno/,Unknown,0,0.09284951974,0,0,"Kubernetes Native Policy Management kyverno, certificate management, policy, native",0.0641451479,0.06384980704,0.06353785241,0.06410682898,0.7443603637
artifact-hub,"Artifact Hub is a web-based application that enables finding, installing, and publishing Cloud Native packages.","Topic 2: Ingress, Controller, GitHub","helm_charts, uncategorized, artifact-hub, artifact, hub",85,1.20.0,TRUE,artifact-hub,https://artifacthub.github.io/helm-charts/,Apache-2.0,0,0.09071504803,0,0,"Artifact Hub is a web-based application that enables finding, installing, and publishing Cloud Native packages. helm_charts, uncategorized, artifact-hub, artifact, hub",0.0573648313,0.7579274568,0.05716211411,0.07041303547,0.05713256227
nginx-ingress,NGINX Ingress Controller,Ingress Controller,"helm.nginx.com, ingress controller, ingress, controller, stable, nginx",85,2.0.0,TRUE,nginx,https://helm.nginx.com/stable,Unknown,0,0.09071504803,0,0,"NGINX Ingress Controller helm.nginx.com, ingress controller, ingress, controller, stable, nginx",0.136025673,0.662443142,0.06712242141,0.06800713951,0.06640162413
pgadmin4,pgAdmin4 is a web based administration tool for PostgreSQL database,Database,"runix, helm.runix.net, pgadmin4, database",85,1.34.0,FALSE,runix,https://helm.runix.net/,Unknown,0,0.09071504803,0,0,"pgAdmin4 is a web based administration tool for PostgreSQL database runix, helm.runix.net, pgadmin4, database",0.05941028342,0.3844413783,0.05758182303,0.4410181524,0.05754836286
mariadb,"MariaDB is an open source, community-developed SQL database server that is widely in use around the world due to its enterprise features, flexibility, and collaboration with leading tech firms.",Database,"bitnami, an, charts.bitnami.com, database, mariadb",83,20.2.1,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.08858057631,0,0,"MariaDB is an open source, community-developed SQL database server that is widely in use around the world due to its enterprise features, flexibility, and collaboration with leading tech firms. bitnami, an, charts.bitnami.com, database, mariadb",0.365598891,0.04382927944,0.04362480333,0.5035112512,0.04343577502
oauth2-proxy,"A reverse proxy that provides authentication with Google, Github or other providers",Certificate Management,"oauth2-proxy, oauth2_proxy.github.io, manifests, proxy, certificate management, reverse",81,7.10.2,TRUE,oauth2-proxy,https://oauth2-proxy.github.io/manifests,Unknown,0,0.08644610459,0,0,"A reverse proxy that provides authentication with Google, Github or other providers oauth2-proxy, oauth2_proxy.github.io, manifests, proxy, certificate management, reverse",0.05291651431,0.7135768823,0.05376088678,0.05217960489,0.1275661117
nginx,"NGINX Open Source is a web server that can be also used as a reverse proxy, load balancer, and HTTP cache. Recommended for high-demanding sites due to its ability to provide faster content.",Ingress Controller,"bitnami, charts.bitnami.com, ingress controller, source, nginx, open",80,18.3.5,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.08537886873,0,0,"NGINX Open Source is a web server that can be also used as a reverse proxy, load balancer, and HTTP cache. Recommended for high-demanding sites due to its ability to provide faster content. bitnami, charts.bitnami.com, ingress controller, source, nginx, open",0.09935204236,0.6082298336,0.03720895426,0.2172271812,0.03798198852
sealed-secrets,Helm chart for the sealed-secrets controller.,Certificate Management,"bitnami-labs, sealed_secrets, for, certificate management",80,2.17.1,TRUE,bitnami-labs,https://bitnami-labs.github.io/sealed-secrets/,Unknown,0,0.08537886873,0,0,"Helm chart for the sealed-secrets controller. bitnami-labs, sealed_secrets, for, certificate management",0.05790863272,0.05805807026,0.7701369896,0.05763501883,0.0562612886
kibana,Official Elastic helm chart for Kibana,"Topic 4: Helm, Chart, Kubernetes","official, elastic, helm.elastic.co, uncategorized",79,8.5.1,TRUE,elastic,https://helm.elastic.co,Unknown,0,0.08431163287,0,0,"Official Elastic helm chart for Kibana official, elastic, helm.elastic.co, uncategorized",0.06898188344,0.06896818371,0.06930223105,0.7238599211,0.06888778071
pihole,Installs pihole in kubernetes,"Topic 2: Ingress, Controller, GitHub","installs, in, uncategorized, mojo2600, pihole, pihole_kubernetes",78,2.27.0,TRUE,mojo2600,https://mojo2600.github.io/pihole-kubernetes/,Unknown,0,0.08324439701,0,0,"Installs pihole in kubernetes installs, in, uncategorized, mojo2600, pihole, pihole_kubernetes",0.08892868877,0.6436278678,0.08868951588,0.09027261439,0.08848131318
consul,Official HashiCorp Consul Chart,"Topic 3: Prometheus, Exporter, Visualization","helm.releases.hashicorp.com, uncategorized, hashicorp, official, consul",77,1.6.2,TRUE,hashicorp,https://helm.releases.hashicorp.com,MPL-2.0,0,0.08217716115,0,0,"Official HashiCorp Consul Chart helm.releases.hashicorp.com, uncategorized, hashicorp, official, consul",0.06395999848,0.06395094092,0.7427424559,0.06535296422,0.06399364052
metrics-server,"Metrics Server aggregates resource usage data, such as container CPU and memory usage, in a Kubernetes cluster and makes it available via the Metrics API.",Visualization,"bitnami, server, charts.bitnami.com, cluster, metrics, visualization, aggregates",75,7.3.1,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.08004268943,0,0,"Metrics Server aggregates resource usage data, such as container CPU and memory usage, in a Kubernetes cluster and makes it available via the Metrics API. bitnami, server, charts.bitnami.com, cluster, metrics, visualization, aggregates",0.04443893941,0.6311306123,0.2350420685,0.04449432735,0.04489405247
